datetime,gmx,gmvx,upper,lower,position
2012-02-03,-1.6220900171438124,-1.8889800062775035,0.9336034927749763,-3.0554230714262793,0.0
2012-02-10,-0.7470615695501421,-2.467739478101192,0.9273146796528045,-3.0425269273614655,0.0
2012-02-17,-0.09680488432931234,-3.1727107764611704,0.936565012836337,-3.031760568054893,0.0
2012-02-24,0.3664579960289013,-4.115550921798339,0.9615598740388571,-3.0275996401102345,0.0
2012-03-02,0.6682067578512837,-4.661508018083143,0.9981578311721795,-3.029478686205047,0.0
2012-03-09,0.7002113766229758,-4.818570871456034,1.0346595394761073,-3.0313163176576734,0.0
2012-03-16,0.49619950199642027,-4.619546583541088,1.0612773957309467,-3.0280436160907693,0.0
2012-03-23,0.020755050186587576,-4.02208399460954,1.070761051258466,-3.017643347650635,0.0
2012-03-30,-0.6642169507798239,-3.2335367654545006,1.0645692165599168,-3.0053882933949043,0.0
2012-04-06,-1.0187275593697658,-2.5553321686369554,1.0541225400424583,-2.995879830876519,0.0
2012-04-13,-0.9420097432555246,-2.2313619942427283,1.0445540001355074,-2.9857561197741544,0.0
2012-04-20,-0.549505849008911,-2.236497155097726,1.0405362661747055,-2.9737175246550587,0.0
2012-04-27,0.06143899197487357,-2.599017812662555,1.0506117089598879,-2.964396182134297,0.0
2012-05-04,0.3773660380834428,-2.8133833349422366,1.0701751348555502,-2.9590202010267697,0.0
2012-05-11,0.32713319238008287,-2.8666930034804667,1.0873898354919698,-2.952687573413825,0.0
2012-05-18,-0.0013414668452681466,-2.7898922547974396,1.0944596239219526,-2.9426691526306756,0.0
2012-05-25,-0.25113328759307924,-2.7000828689740217,1.0953907351586216,-2.931364418835322,0.0
2012-06-01,-0.46193305457729267,-2.829696135814,1.0921956537516757,-2.919952152072321,0.0
2012-06-08,-0.5810792409152259,-2.815773032977281,1.0871003773249819,-2.908914036212679,0.0
2012-06-15,-0.3891972390383647,-2.879403919881322,1.0851980485415185,-2.897777909368941,0.0
2012-06-22,-0.3096447450026659,-2.9389844426048164,1.0847477996879302,-2.8868602011221767,0.0
2012-06-29,-0.3579610065651976,-2.6841689315237516,1.0833343584948452,-2.8760016261177537,0.0
2012-07-06,-0.28930508661249366,-2.7265098508437537,1.0831619394709717,-2.865363197659416,0.0
2012-07-13,-0.5392724995389984,-2.5618068680752613,1.0787169677026962,-2.8549040698303667,0.0
2012-07-20,-0.8839969043782978,-2.335940550937269,1.0703286202017823,-2.8464462876398677,0.0
2012-07-27,-1.0738206447468832,-2.3837787733568265,1.0607490690577694,-2.8399887837400204,0.0
2012-08-03,-1.3659239589356555,-2.2704058946138446,1.0505136299730506,-2.8376917463485434,0.0
2012-08-10,-1.2355253996704874,-2.4904967169027996,1.0405683138076394,-2.833398270538219,0.0
2012-08-17,-1.044993814743531,-2.726247535278974,1.031517388014408,-2.8267830633741386,0.0
2012-08-24,-0.9137772108826256,-3.0091832660919544,1.0234657171900636,-2.818993902683173,0.0
2012-08-31,-0.9853166710362103,-3.3871033306973644,1.0149984469690172,-2.811938770821637,0.0
2012-09-07,-1.1302169391063757,-3.4391431093619556,1.0058641057617215,-2.8065123780492223,0.0
2012-09-14,-1.188765599870653,-3.403526805113149,0.9966302864465176,-2.8018569946661915,0.0
2012-09-21,-1.3202879000052667,-3.144958596170476,0.9872415440559961,-2.799045804179535,0.0
2012-09-28,-0.9867058112396455,-2.6885006198578743,0.9791963152776758,-2.792263132919619,0.0
2012-10-12,-0.878612921356592,-2.4157273767090057,0.9720386123962765,-2.7846725542635786,0.0
2012-10-19,-0.5934935130950794,-2.2050018449877817,0.9679547934541327,-2.7757760667393025,0.0
2012-10-26,-0.28547768800272044,-2.177008815416814,0.9685911042495081,-2.7669706531279625,0.0
2012-11-02,-0.21225618074743088,-2.480394449875886,0.970491181515365,-2.7584626456409134,0.0
2012-11-09,-0.37030465911643007,-2.6471301546357004,0.9695717417221424,-2.749668302495114,0.0
2012-11-16,-0.9624086883690461,-2.72494097720531,0.9620696781964483,-2.743246245058712,0.0
2012-11-23,-1.2280279709353283,-2.651304711497561,0.9535579950088602,-2.7397336683526676,0.0
2012-11-30,-1.9321005262249002,-2.176331127819032,0.9476749757864117,-2.7491302475059984,0.0
2012-12-07,-1.967019528129164,-1.8345020466448405,0.9420747035288609,-2.759096280245081,0.0
2012-12-14,-1.4108530495010188,-1.4350001613228596,0.9336506440439701,-2.7579525433854495,0.0
2012-12-21,-1.0283951245596872,-1.1892050046810383,0.9262202242783953,-2.752194701675831,0.0
2012-12-28,0.06939500881235583,-1.396538697561124,0.9341172217719328,-2.7460576670620673,0.0
2013-01-04,0.9668182838425453,-1.4972296980044524,0.9677515809710965,-2.7531276502826834,0.0
2013-01-11,1.4418054488969219,-1.8780139394709519,1.0185356816135842,-2.771031561015978,0.0
2013-01-18,2.21288682744506,-2.1364796825847074,1.1028660893893512,-2.812157286733755,0.0
2013-01-25,2.3594120792554665,-2.0158148370461038,1.1905447111696734,-2.8551962185428597,0.0
2013-02-01,2.3536598232201125,-1.8735239081362107,1.2737775840792576,-2.8944844628054547,0.0
