date,GMX_roll,GMVX_roll,position,close,equity_no_cost,equity_default,bench_equity
2011-05-13,1.322391556450978,-0.4161414616891373,0.0,3128.093,1.2765849495250916,1.2628055872670334,1.205184682897135
2011-05-20,1.3992538146943383,-0.33370166427261067,0.0,3121.596,1.2770268443153117,1.2632427122780103,1.202681533251398
2011-05-27,1.6150502585149882,-0.3511971860283387,0.0,2963.308,1.277468892069113,1.263679988601491,1.141696686225935
2011-06-03,1.6102420159624138,-0.055010100699218134,0.0,2986.349,1.2779110928394446,1.264117416289853,1.1505738712324656
2011-06-10,1.6962524051512198,0.21503120961227634,1.0,2961.932,1.2783534466792736,1.2645549953954918,1.1411665440199115
2011-06-17,1.8518391815784876,0.239135027865372,1.0,2892.157,1.2559826276445505,1.2416669123073751,1.1142837878968848
2011-06-24,1.3543309888668214,1.1173223289901641,1.0,3027.47,1.3166576485421135,1.301650358092251,1.1664168782483737
2011-07-01,1.2091536933555929,1.196787003233352,1.0,3049.745,1.3324997325518746,1.317311873708756,1.174998940486144
2011-07-08,0.8867325218166082,1.3635488240515627,1.0,3109.183,1.3468201695890472,1.3314690861155747,1.1978990803419731
2011-07-15,0.4697546985461112,1.6393441712831336,1.0,3128.889,1.3615710153413232,1.346051801430276,1.2054913639988756
2011-07-22,0.7857161747046187,1.0461291513154325,1.0,3067.985,1.3263966239229596,1.3112783284351617,1.1820264069380826
2011-07-29,1.025617858403359,0.6201181263235089,1.0,2972.079,1.2908374731986703,1.2761244816284554,1.1450759575115685
2011-08-05,1.47171217922877,0.10709151940922823,1.0,2897.417,1.2453654445823812,1.2311707441120165,1.116310348946073
2011-08-12,1.7061602505084266,-0.1034801051721553,0.0,2875.365,1.253477996727669,1.239190829224231,1.107814203650122
2011-08-19,1.8541028375585307,-0.13300483736053212,0.0,2807.664,1.2539118929573054,1.2388762653983512,1.0817305136137905
2011-08-26,1.585382491067143,0.4926026233249956,1.0,2901.216,1.2543459393817906,1.2393051071825274,1.1177740191791277
2011-09-02,1.624565492469623,0.5832767057765771,1.0,2803.854,1.2129310949622163,1.1976432841088913,1.0802626053253097
2011-09-09,1.7418190886157596,0.4862802659973172,1.0,2751.095,1.1831006302471128,1.1681888032432624,1.0599357356686308
2011-09-16,1.6994230811049467,0.658260753574413,1.0,2733.987,1.185663160115096,1.170719034927045,1.0533444036478106
2011-09-23,2.117759799152655,0.15617145114235043,1.0,2669.478,1.1537905226609457,1.1392481209135912,1.028490520240568
2011-09-30,2.2430922083693416,0.15753285390053332,1.0,2581.351,1.1537905226609457,1.1392481209135912,0.99453714655581
2011-10-07,2.4667290203502548,0.16690356715741228,1.0,2581.351,1.1289738929811555,1.1147442805935077,0.99453714655581
2011-10-14,2.2477985503117024,0.5801904073910787,1.0,2653.782,1.1597669965760278,1.1451492672167725,1.0224432004253474
2011-10-21,2.1152740360373197,0.2998776211876717,1.0,2507.877,1.0978789560809825,1.0840412649787237,0.9662292479763293
2011-10-28,2.9185209532386533,1.3397806996040689,0.0,2709.017,1.1796513560009836,1.1647830037274582,1.043724017830656
2011-11-04,2.2436749786209202,1.8346349358148641,0.0,2763.746,1.180059696854984,1.1644873280418966,1.0648098846863656
2011-11-11,2.355341252091735,1.2342358734320795,0.0,2695.002,1.1804681790577414,1.1648904198092955,1.0383243499400903
2011-11-18,2.06102446420174,1.4915436146123584,0.0,2606.495,1.1808768026581844,1.1652936511084602,1.00422457070425
2011-11-25,1.4170222774189194,0.4627686199060017,1.0,2569.973,1.1812855677052583,1.1656970219876899,0.9901534561342008
2011-12-02,1.0654274708515878,0.03614044270016015,1.0,2557.311,1.173430929312267,1.157246617193592,0.9852750690610405
2011-12-09,0.8493467722651664,0.056510347439634734,1.0,2503.461,1.1444396899147105,1.1286552336847775,0.9645278613616495
2011-12-16,0.554390867798167,-0.16446826160829997,0.0,2390.129,1.0860228785719683,1.0710441245645792,0.9208635615847254
2011-12-23,0.4675433007812766,-0.015223962026951643,0.0,2359.159,1.086398809568397,1.070772244132959,0.9089315091715382
2011-12-30,0.26832533239493483,0.07427454718318355,1.0,2345.742,1.086774870694786,1.0711428960636205,0.9037622373850438
2012-01-06,0.22157998740753704,0.2731741785146336,1.0,2290.601,1.054414599281313,1.0386054032468746,0.8825176360897399
2012-01-13,0.8836909174357166,1.2234142344047052,1.0,2394.334,1.093886886770896,1.077485869330271,0.9224836545907781
2012-01-20,1.6200119950113518,1.79146744478516,1.0,2504.086,1.093886886770896,1.077485869330271,0.964768659965403
2012-01-27,2.3277582708806577,2.371849078965581,1.0,2504.086,1.1545990395355337,1.1372877441782494,0.964768659965403
2012-02-03,2.8847805632597057,2.483835038051301,1.0,2506.09,1.155655211199483,1.1383280803018971,0.9655407566084778
2012-02-10,3.094606453785319,2.0569292919395608,0.0,2533.624,1.1525433014863564,1.1352628285075153,0.9761489946176704
2012-02-17,2.940061278168426,1.4825933750886797,0.0,2537.086,1.1529422587830247,1.1349746464048942,0.977482826243581
2012-02-24,2.9855810979383337,1.236116995737684,0.0,2648.017,1.1533413541802957,1.1353675222440343,1.0202220741043262
2012-03-02,3.048311054874421,1.185230285164451,0.0,2679.934,1.1537405877259734,1.1357605340786572,1.032518984561921
2012-03-09,2.763505684222798,0.9353515179668829,1.0,2664.302,1.1541399594678785,1.1361536819558382,1.0264963225237245
2012-03-16,2.690519380484041,0.6960861708568693,1.0,2623.52,1.1343870291147318,1.116026891805084,1.0107839246704922
2012-03-23,2.209768790199904,-0.060370953159465945,0.0,2552.94,1.1056826380789633,1.0877870834446108,0.9835910199458309
2012-03-30,1.7044230590232652,-0.7533084334483182,0.0,2454.899,1.1060653743767597,1.0875109528772748,0.9458180024888952
2012-04-06,1.537268718493672,-0.8659438747276376,0.0,2519.83,1.1064482431601976,1.0878873989763476,0.9708344731133921
2012-04-13,1.5467603127625602,-0.6889790152256814,0.0,2580.454,1.1068312444751376,1.0882639753836854,0.9941915523997038
2012-04-20,1.7684003570867457,-0.13819634021293825,0.0,2626.839,1.1072143783674557,1.088640682144395,1.012062661575864
2012-04-27,2.1675758225828416,0.42225738138293,1.0,2626.157,1.1075976448830445,1.0890175193035987,1.0117999021394486
2012-05-04,2.60470230131168,0.8990733509848151,1.0,2715.879,1.123738670511784,1.1042343661642973,1.0463677938609852
2012-05-11,2.446967841076253,0.698122761870136,1.0,2636.917,1.1047390173751126,1.0855644827748088,1.0159454909016667
2012-05-18,2.1373505012893887,0.34850318946328307,1.0,2573.976,1.0708380346514408,1.0522519065036977,0.9916957230315209
2012-05-25,1.9703114240678037,0.14435247949956487,1.0,2573.103,1.0667696836051295,1.0482541682778597,0.9913593755417981
2012-06-01,1.7027578567144772,-0.2091328065091842,0.0,2632.998,1.0818129662983198,1.063036350439643,1.0144355873366917
2012-06-08,1.4344474663701026,-0.433613516406522,0.0,2524.329,1.082187440017423,1.0627665027506852,0.9725678377826508
2012-06-15,1.5792216096636296,-0.06053770089157107,0.0,2568.054,1.0825620433620442,1.0631343834631757,0.989414108101237
2012-06-22,1.3477415029056323,0.014660339647447618,1.0,2512.185,1.082936776377054,1.0635023915189898,0.9678890245922811
2012-06-29,0.9294422765356216,-0.17611160035577278,0.0,2461.612,1.0709789200158408,1.0511210294293465,0.94840437213209
2012-07-06,1.0514041014988649,0.380317563126203,1.0,2472.614,1.071349643488154,1.0508542063987991,0.9526431981136814
2012-07-13,0.854403701282568,0.16994546109479758,1.0,2450.633,1.0699113718644098,1.048812937083335,0.9441744075391165
2012-07-20,0.8294636301469218,0.18357731641100694,1.0,2398.455,1.0381926185242696,1.0177196711118521,0.9240713842644867
2012-07-27,0.7176880902851046,0.4298613096899243,1.0,2349.108,1.0254968286953863,1.0052742396778256,0.9050590823454182
2012-08-03,0.5677178223717871,0.4189488985877684,1.0,2353.737,1.0252067314464357,1.0049898630876586,0.9068425331242572
2012-08-10,0.6411925489934713,0.661526026182377,1.0,2399.751,1.0445699594000706,1.023971252121852,0.9245707042492298
2012-08-17,0.5092497787504966,0.45745450180676084,1.0,2313.476,1.001119498817785,0.9813776257904311,0.8913308649871138
2012-08-24,0.5087166272339019,0.5275312536990253,1.0,2275.677,0.9895958763692478,0.9700812468342671,0.8767677507098756
2012-08-31,0.22520375982641072,0.29675768203753833,1.0,2204.868,0.9602101156417203,0.9412749673352843,0.849486617376799
