datetime,rev_growth,pb_proxy,indicator,score,position
2021-06-30,0.5350194424286239,1.113912384137292,0.48030657531740095,1,1.0
2021-07-31,0.32060058428762894,1.0192115263983368,0.3145574554288637,1,1.0
2021-08-31,0.2684330269597852,1.1034317812787993,0.24327106715078511,1,1.0
2021-09-30,0.2865146373285803,1.1170776768346802,0.25648586778713556,-1,0.0
2021-10-31,0.2800491035688615,1.0634814136226984,0.2633323911274459,-1,0.0
2021-11-30,0.2593815346624049,1.052290705860737,0.24649227938418392,-1,0.0
2021-12-31,0.24763191021400988,1.1040938384280166,0.2242852025753377,-1,0.0
2022-01-31,0.17827157957680884,1.0041653662610563,0.17753209338476922,1,1.0
2022-02-28,0.2102789220560788,0.9523571688164385,0.2207983821000762,-1,0.0
2022-03-31,0.23597700067940086,0.8956511542843542,0.26346976671732414,-1,0.0
2022-04-30,0.2249657488254415,0.8287376803950004,0.2714559192218898,-1,0.0
2022-05-31,0.19910862621816694,0.83249986545623,0.23916955963596537,1,1.0
2022-06-30,0.17512111281343978,0.9167965484431443,0.1910141493342457,1,1.0
2022-07-31,0.17059431825657723,0.8479959959097851,0.201173495015802,-1,0.0
2022-08-31,0.10764366696503136,0.8613986242229726,0.12496382503760285,1,1.0
2022-09-30,0.008439538912088373,0.7619556312177475,0.011076155311826246,1,1.0
2022-10-31,-0.02392787940451213,0.7536059951806131,-0.031751179737864815,1,1.0
2022-11-30,-0.0710761713660305,0.8370633968840602,-0.08491133602378162,1,1.0
2022-12-31,-0.1294492013154126,0.8180463586838497,-0.1582418892783567,1,1.0
2023-01-31,-0.15240582815796322,0.899735018491257,-0.16938968143479477,1,1.0
2023-02-28,-0.14321349785194704,0.8799917361529273,-0.1627441394825315,-1,0.0
2023-03-31,-0.16660877581794098,0.8581728637840417,-0.1941436077147598,1,1.0
2023-04-30,-0.15079885586745534,0.8810705866938956,-0.1711541142615017,-1,0.0
2023-05-31,-0.1410179897972691,0.848527467317504,-0.16619142600424822,-1,0.0
2023-06-30,-0.16342994404484334,0.8358076101118206,-0.19553536252556789,1,1.0
2023-07-31,-0.15914547264270928,0.9719265963795505,-0.16374227563638027,-1,0.0
2023-08-31,-0.1553212083858193,0.929172992373725,-0.16716070060218366,-1,0.0
2023-09-30,-0.11660201211667665,0.9153565260686627,-0.12738425825996688,-1,0.0
2023-10-31,-0.09762206314601651,0.9208727975208517,-0.10601036691368443,-1,0.0
